name,result,time,prop
goal29.smt2,success,4.69 ms,(forall ((x Nat) (l Lst)) (mem x (ins1 x l))) ; G29
goal3.smt2,success,19.41 ms,(forall ((n Nat) (l Lst) (m Lst)) (leq (count n l) (count n (append l m)))) ; G3
goal30.smt2,success,4.78 ms,(forall ((x Nat) (l Lst)) (mem x (insort x l))) ; G30
goal31.smt2,success,150.66 ms,(forall ((a Nat) (b Nat) (c Nat)) (= (nmin (nmin a b) c) (nmin a (nmin b c)))) ; G31
goal32.smt2,success,18.61 ms,(forall ((a Nat) (b Nat))(= (nmin a b) (nmin b a))) ; G32
goal33.smt2,success,3.40 ms,(forall ((a Nat) (b Nat))(= (= (nmin a b) a) (leq a b))) ; G33
goal34.smt2,success,8.94 ms,(forall ((a Nat) (b Nat))(= (= (nmin a b) b) (leq b a))) ; G34
goal35.smt2,success,6.59 ms,(forall ((xs Lst)) (=> (forall ((x Nat)) (not (P x))) (= (dropWhile xs) xs))) ; G35
goal36.smt2,success,5.22 ms,(forall ((xs Lst)) (=> (forall ((x Nat)) (P x)) (= (takeWhile xs) xs))) ; G36
goal37.smt2,success,4.22 ms,(forall ((x Nat) (l Lst)) (not (mem x (delete x l)))) ; G37
goal38.smt2,success,6.82 ms,(forall ((n Nat) (x Lst)) (= (count n (append x (cons n nil))) (succ (count n x)))) ; G38
goal39.smt2,success,19.38 ms,(forall ((n Nat) (h Nat) (t Lst)) (= (plus (count n (cons h nil)) (count n t)) (count n (cons h t)))) ; G39
goal4.smt2,success,5.94 ms,(forall ((n Nat) (l Lst)) (= (plus (succ zero) (count n l)) (count n (cons n l)))) ; G4
goal40.smt2,success,2.26 ms,(forall ((xs Lst)) (= (take zero xs) nil)) ; G40
goal41.smt2,success,11.01 ms,(forall ((n Nat) (xs Lst)) (= (take n (lmap xs)) (lmap (take n xs)))) ; G41
goal42.smt2,success,2.66 ms,(forall ((n Nat) (x Nat) (xs Lst)) (= (take (succ n) (cons x xs)) (cons x (take n xs)))) ; G42
goal43.smt2,success,6.14 ms,(forall ((xs Lst)) (= (append (takeWhile xs) (dropWhile xs)) xs)) ; G43
goal44.smt2,success,4.19 ms,(forall ((x Nat) (xs Lst) (ys Lst)) (= (zip (cons x xs) ys) (ite (= ys nil) znil (zcons (mkpair x (head ys)) (zip xs (tail ys)))))) ; G44
goal45.smt2,success,3.29 ms,(forall ((x Nat) (xs Lst) (y Nat) (ys Lst)) (= (zip (cons x xs) (cons y ys)) (zcons (mkpair x y) (zip xs ys)))) ; G45
goal46.smt2,success,2.81 ms,(forall ((ys Lst)) (= (zip nil ys) znil)) ; G46
goal47.smt2,success,79.34 ms,(forall ((a Tree)) (= (height (mirror a)) (height a))) ; G47
goal48.smt2,success,21.71 ms,(forall ((xs Lst)) (=> (not (= xs nil)) (= (butlast (append xs (cons (last xs) nil))) xs))) ; G48
goal49.smt2,success,22.09 ms,(forall ((xs Lst) (ys Lst)) (= (butlast (append xs ys)) (ite (= ys nil) (butlast xs) (append xs (butlast ys))))) ; G49
goal5.smt2,success,5.93 ms,(forall ((n Nat) (x Nat) (l Lst)) (=> (= n x) (= (plus (succ zero) (count n l)) (count n (cons x l))))) ; G5
goal50.smt2,success,52.87 ms,(forall ((xs Lst)) (= (butlast xs) (take (minus (len xs) (succ zero)) xs))) ; G50
goal51.smt2,success,10.66 ms,(forall ((xs Lst) (x Nat)) (= (butlast (append xs (cons x nil))) xs)) ; G51
goal52.smt2,unknown,49844.32 ms,(forall ((n Nat) (l Lst)) (= (count n l) (count n (rev l)))) ; G52
goal53.smt2,success,1123.43 ms,(forall ((x Nat) (l Lst)) (= (count x l) (count x (sort l)))) ; G53
goal54.smt2,unknown,30007.78 ms,(forall ((m Nat) (n Nat)) (= (minus (plus m n) n) m)) ; G54
goal55.smt2,success,288.10 ms,(forall ((i Nat) (j Nat) (k Nat)) (= (minus (minus i j) k) (minus (minus i k) j))) ; G55
goal56.smt2,success,23.21 ms,(forall ((n Nat) (xs Lst) (ys Lst)) (= (drop n (append xs ys)) (append (drop n xs) (drop (minus n (len xs)) ys)))) ; G56
goal57.smt2,success,66.35 ms,(forall ((n Nat) (m Nat) (xs Lst)) (= (drop n (drop m xs)) (drop (plus n m) xs))) ; G57
goal58.smt2,success,14.97 ms,(forall ((n Nat) (m Nat) (xs Lst)) (= (drop n (take m xs)) (take (minus m n) (drop n xs)))) ; G58
goal59.smt2,success,19.20 ms,(forall ((n Nat) (xs Lst) (ys Lst)) (= (zdrop n (zip xs ys)) (zip (drop n xs) (drop n ys)))) ; G59
goal6.smt2,success,12.40 ms,(forall ((n Nat) (m Nat)) (= (minus n (plus n m)) zero)) ; G6
goal60.smt2,success,11.03 ms,(forall ((xs Lst) (ys Lst)) (=> (= ys nil) (= (last (append xs ys)) (last xs)))) ; G60
goal61.smt2,success,20.43 ms,(forall ((xs Lst) (ys Lst)) (=> (not (= ys nil)) (= (last (append xs ys)) (last ys)))) ; G61
goal62.smt2,success,23.22 ms,(forall ((xs Lst) (ys Lst)) (= (last (append xs ys)) (ite (= ys nil) (last xs) (last ys)))) ; G62
goal63.smt2,success,2.90 ms,(forall ((x Nat) (xs Lst)) (=> (not (= xs nil)) (= (last (cons x xs)) (last xs)))) ; G63
goal64.smt2,success,12.81 ms,(forall ((n Nat) (xs Lst)) (=> (less n (len xs)) (= (last (drop n xs)) (last xs)))) ; G64
goal65.smt2,success,15.01 ms,(forall ((x Nat) (xs Lst)) (= (last (append xs (cons x nil))) x)) ; G65
goal66.smt2,unknown,30005.09 ms,(forall ((i Nat) (m Nat)) (less i (succ (plus m i)))) ; G66
goal67.smt2,unknown,56748.88 ms,(forall ((xs Lst)) (leq (len (filter xs)) (len xs))) ; G67
goal68.smt2,success,49.50 ms,(forall ((xs Lst)) (= (len (butlast xs)) (minus (len xs) (succ zero)))) ; G68
goal69.smt2,unknown,30011.97 ms,(forall ((x Nat) (l Lst)) (leq (len (delete x l)) (len l))) ; G69
goal7.smt2,success,15.47 ms,(forall ((n Nat) (m Nat)) (= (minus (plus n m) n) m)) ; G7
goal70.smt2,unknown,30003.45 ms,(forall ((n Nat) (m Nat)) (leq n (plus m n))) ; G70
goal71.smt2,success,9.82 ms,(forall ((n Nat) (m Nat)) (=> (leq m n) (leq m (succ n)))) ; G71
goal72.smt2,unknown,30047.63 ms,(forall ((x Nat) (y Nat) (l Lst)) (=> (less x y) (= (mem x (insort y l)) (mem x l)))) ; G72
goal73.smt2,success,12.22 ms,(forall ((x Nat) (y Nat) (l Lst)) (=> (not (= x y)) (= (mem x (insort y l)) (mem x l)))) ; G73
goal74.smt2,unknown,64133.89 ms,(forall ((i Nat) (xs Lst)) (= (rev (drop i xs)) (take (minus (len xs) i) (rev xs)))) ; G74
goal75.smt2,unknown,36201.49 ms,(forall ((xs Lst)) (= (rev (filter xs)) (filter (rev xs)))) ; G75
goal76.smt2,unknown,44139.20 ms,(forall ((i Nat) (xs Lst)) (= (rev (take i xs)) (drop (minus (len xs) i) (rev xs)))) ; G76
goal77.smt2,success,7.31 ms,(forall ((n Nat) (h Nat) (x Lst)) (=> (not (= n h)) (= (count n (append x (cons h nil))) (count n x)))) ; G77
goal78.smt2,success,9.58 ms,(forall ((n Nat) (h Nat) (t Lst)) (= (plus (count n t) (count n (cons h nil))) (count n (cons h t)))) ; G78
goal79.smt2,unknown,30016.41 ms,(forall ((x Nat) (l Lst)) (=> (sorted l) (sorted (insort x l)))) ; G79
goal8.smt2,success,12.02 ms,(forall ((k Nat) (n Nat) (m Nat)) (= (minus (plus k m) (plus k n)) (minus m n))) ; G8
goal80.smt2,unknown,32053.21 ms,(forall ((l Lst)) (sorted (sort l))) ; G80
goal81.smt2,success,18.54 ms,(forall ((m Nat) (n Nat) (k Nat)) (= (minus (minus (succ m) n) (succ k)) (minus (minus m n) k))) ; G81
goal82.smt2,success,15.36 ms,(forall ((n Nat) (xs Lst) (ys Lst)) (= (take n (append xs ys)) (append (take n xs) (take (minus n (len xs)) ys)))) ; G82
goal83.smt2,success,286.73 ms,(forall ((n Nat) (m Nat) (xs Lst)) (= (take n (drop m xs)) (drop m (take (plus n m) xs)))) ; G83
goal84.smt2,success,18.90 ms,(forall ((n Nat) (xs Lst) (ys Lst)) (= (ztake n (zip xs ys)) (zip (take n xs) (take n ys)))) ; G84
goal85.smt2,success,35.16 ms,(forall ((xs Lst) (ys Lst) (zs Lst)) (= (zip (append xs ys) zs) (zappend (zip xs (take (len xs) zs)) (zip ys (drop (len xs) zs))))) ; G85
goal86.smt2,success,29.65 ms,(forall ((xs Lst) (ys Lst) (zs Lst)) (= (zip xs (append ys zs)) (zappend (zip (take (len ys) xs) ys) (zip (drop (len ys) xs) zs)))) ; G86
goal87.smt2,unknown,30200.65 ms,(forall ((xs Lst) (ys Lst)) (=> (= (len xs) (len ys)) (= (zip (rev xs) (rev ys)) (zrev (zip xs ys))))) ; G87
goal9.smt2,success,19.35 ms,(forall ((i Nat) (j Nat) (k Nat)) (= (minus (minus i j) k) (minus i (plus j k)))) ; G9
